,day_of_week,month,is_holiday,staleness,rolling_7_decay,rolling_30_decay,rolling_100_decay,freq_x_7,freq_x_30,freq_x_100
122,4,10,0,17,0.0,0.0,0.0,0.0,0.0,0.0
123,5,10,0,18,0.0,0.0,0.0,0.0,0.0,0.0
124,6,10,0,19,0.0,0.0,0.0,0.0,0.0,0.0
125,0,10,0,20,0.0,0.0,0.0,0.0,0.0,0.0
126,1,10,0,21,0.0,0.0,0.0,0.0,0.0,0.0
127,2,10,0,22,0.0,0.0,0.0,0.0,0.0,0.0
128,3,10,0,23,0.0,0.0,0.0,0.0,0.0,0.0
129,4,10,0,24,0.0,0.0,0.0,0.0,0.0,0.0
130,5,10,0,25,0.0,0.0,0.0,0.0,0.0,0.0
131,6,10,0,26,0.0,0.0,0.0,0.0,0.0,0.0
132,0,10,0,27,0.0,0.0,0.0,0.0,0.0,0.0
133,1,10,0,28,0.0,0.0,0.0,0.0,0.0,0.0
134,2,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0
135,3,10,0,1,0.0,0.0,0.0,0.0,0.0,0.0
136,4,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0
137,5,10,0,3,0.0,0.0,0.0,0.0,0.0,0.0
138,6,10,0,4,0.0,0.0,0.0,0.0,0.0,0.0
139,0,11,0,5,0.0,0.0,0.0,0.0,0.0,0.0
140,1,11,0,6,0.0,0.0,0.0,0.0,0.0,0.0
141,2,11,0,7,0.0,0.0,0.0,0.0,0.0,0.0
142,3,11,0,8,0.0,0.0,0.0,0.0,0.0,0.0
143,4,11,0,9,0.0,0.0,0.0,0.0,0.0,0.0
144,5,11,0,10,0.0,0.0,0.0,0.0,0.0,0.0
145,6,11,0,11,0.0,0.0,0.0,0.0,0.0,0.0
146,0,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,11,0,1,0.0,0.0,0.0,0.0,0.0,0.0
148,2,11,0,2,0.0,0.0,0.0,0.0,0.0,0.0
149,3,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0
150,4,11,0,1,0.0,0.0,0.0,0.0,0.0,0.0
151,5,11,0,2,0.0,0.0,0.0,0.0,0.0,0.0
152,6,11,0,3,0.0,0.0,0.0,0.0,0.0,0.0
153,0,11,0,4,0.0,0.0,0.0,0.0,0.0,0.0
154,1,11,0,5,0.0,0.0,0.0,0.0,0.0,0.0
155,2,11,0,6,0.0,0.0,0.0,0.0,0.0,0.0
156,3,11,0,7,0.0,0.0,0.0,0.0,0.0,0.0
157,4,11,0,8,0.0,0.0,0.0,0.0,0.0,0.0
158,5,11,0,9,0.0,0.0,0.0,0.0,0.0,0.0
159,6,11,0,10,0.0,0.0,0.0,0.0,0.0,0.0
160,0,11,0,11,0.0,0.0,0.0,0.0,0.0,0.0
161,1,11,0,12,0.0,0.0,0.0,0.0,0.0,0.0
162,2,11,0,13,0.0,0.0,0.0,0.0,0.0,0.0
163,3,11,0,14,0.0,0.0,0.0,0.0,0.0,0.0
164,4,11,0,15,0.0,0.0,0.0,0.0,0.0,0.0
165,5,11,0,16,0.0,0.0,0.0,0.0,0.0,0.0
166,6,11,0,17,0.0,0.0,0.0,0.0,0.0,0.0
167,0,11,0,18,0.0,0.0,0.0,0.0,0.0,0.0
168,1,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0
169,2,12,0,1,0.0,0.0,0.0,0.0,0.0,0.0
170,3,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0
171,4,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0
172,5,12,0,1,0.0,0.0,0.0,0.0,0.0,0.0
173,6,12,0,2,0.0,0.0,0.0,0.0,0.0,0.0
174,0,12,0,3,0.0,0.0,0.0,0.0,0.0,0.0
175,1,12,0,4,0.0,0.0,0.0,0.0,0.0,0.0
176,2,12,0,5,0.0,0.0,0.0,0.0,0.0,0.0
177,3,12,0,6,0.0,0.0,0.0,0.0,0.0,0.0
178,4,12,0,7,0.0,0.0,0.0,0.0,0.0,0.0
179,5,12,0,8,0.0,0.0,0.0,0.0,0.0,0.0
180,6,12,0,9,0.0,0.0,0.0,0.0,0.0,0.0
181,0,12,0,10,0.0,0.0,0.0,0.0,0.0,0.0
182,1,12,0,11,0.0,0.0,0.0,0.0,0.0,0.0
183,2,12,0,12,0.0,0.0,0.0,0.0,0.0,0.0
184,3,12,0,13,0.0,0.0,0.0,0.0,0.0,0.0
185,4,12,0,14,0.0,0.0,0.0,0.0,0.0,0.0
186,5,12,0,15,0.0,0.0,0.0,0.0,0.0,0.0
187,6,12,0,16,0.0,0.0,0.0,0.0,0.0,0.0
188,0,12,0,17,0.0,0.0,0.0,0.0,0.0,0.0
189,1,12,0,18,0.0,0.0,0.0,0.0,0.0,0.0
190,2,12,0,19,0.0,0.0,0.0,0.0,0.0,0.0
191,3,12,0,20,0.0,0.0,0.0,0.0,0.0,0.0
192,4,12,0,21,0.0,0.0,0.0,0.0,0.0,0.0
193,5,12,1,22,0.0,0.0,0.0,0.0,0.0,0.0
194,6,12,1,23,0.0,0.0,0.0,0.0,0.0,0.0
195,0,12,0,24,0.0,0.0,0.0,0.0,0.0,0.0
196,1,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0
197,2,12,0,1,0.0,0.0,0.0,0.0,0.0,0.0
198,3,12,0,2,0.0,0.0,0.0,0.0,0.0,0.0
199,4,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0
200,5,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
201,6,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0
202,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0
203,1,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0
204,2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0
205,3,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0
206,4,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0
207,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
208,6,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
209,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0
210,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0
211,2,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0
212,3,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0
213,4,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0
214,5,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0
215,6,1,0,8,0.0,0.0,0.0,0.0,0.0,0.0
216,0,1,0,9,0.0,0.0,0.0,0.0,0.0,0.0
217,1,1,0,10,0.0,0.0,0.0,0.0,0.0,0.0
218,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
219,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
220,4,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0
221,5,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0
222,6,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0
223,0,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0
224,1,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0
225,2,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0
226,3,1,0,8,0.0,0.0,0.0,0.0,0.0,0.0
227,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
228,5,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
229,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
230,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
231,1,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
232,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0
233,3,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0
234,4,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0
235,5,2,0,6,0.0,0.0,0.0,0.0,0.0,0.0
236,6,2,0,7,0.0,0.0,0.0,0.0,0.0,0.0
237,0,2,0,8,0.0,0.0,0.0,0.0,0.0,0.0
238,1,2,0,9,0.0,0.0,0.0,0.0,0.0,0.0
239,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
240,3,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0
241,4,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
242,5,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0
243,6,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0
244,0,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0
245,1,2,0,6,0.0,0.0,0.0,0.0,0.0,0.0
246,2,2,0,7,0.0,0.0,0.0,0.0,0.0,0.0
247,3,2,0,8,0.0,0.0,0.0,0.0,0.0,0.0
248,4,2,0,9,0.0,0.0,0.0,0.0,0.0,0.0
249,5,2,0,10,0.0,0.0,0.0,0.0,0.0,0.0
250,6,2,0,11,0.0,0.0,0.0,0.0,0.0,0.0
251,0,2,0,12,0.0,0.0,0.0,0.0,0.0,0.0
252,1,2,0,13,0.0,0.0,0.0,0.0,0.0,0.0
253,2,2,0,14,0.0,0.0,0.0,0.0,0.0,0.0
254,3,2,0,15,0.0,0.0,0.0,0.0,0.0,0.0
255,4,2,0,16,0.0,0.0,0.0,0.0,0.0,0.0
256,5,2,0,17,0.0,0.0,0.0,0.0,0.0,0.0
257,6,2,0,18,0.0,0.0,0.0,0.0,0.0,0.0
258,0,2,0,19,0.0,0.0,0.0,0.0,0.0,0.0
259,1,3,0,20,0.0,0.0,0.0,0.0,0.0,0.0
260,2,3,0,21,0.0,0.0,0.0,0.0,0.0,0.0
261,3,3,0,22,0.0,0.0,0.0,0.0,0.0,0.0
262,4,3,0,23,0.0,0.0,0.0,0.0,0.0,0.0
263,5,3,0,24,0.0,0.0,0.0,0.0,0.0,0.0
264,6,3,0,25,0.0,0.0,0.0,0.0,0.0,0.0
265,0,3,0,26,0.0,0.0,0.0,0.0,0.0,0.0
266,1,3,0,27,0.0,0.0,0.0,0.0,0.0,0.0
267,2,3,0,28,0.0,0.0,0.0,0.0,0.0,0.0
268,3,3,0,29,0.0,0.0,0.0,0.0,0.0,0.0
269,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
270,5,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
271,6,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0
272,0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0
273,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
274,2,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0
275,3,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0
276,4,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0
277,5,3,0,4,0.0,0.0,0.0,0.0,0.0,0.0
278,6,3,0,5,0.0,0.0,0.0,0.0,0.0,0.0
279,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
280,1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0
281,2,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0
282,3,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0
283,4,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0
284,5,3,0,5,0.0,0.0,0.0,0.0,0.0,0.0
285,6,3,1,6,0.0,0.0,0.0,0.0,0.0,0.0
286,0,3,1,7,0.0,0.0,0.0,0.0,0.0,0.0
287,1,3,0,8,0.0,0.0,0.0,0.0,0.0,0.0
288,2,3,0,9,0.0,0.0,0.0,0.0,0.0,0.0
289,3,3,0,10,0.0,0.0,0.0,0.0,0.0,0.0
290,4,4,0,11,0.0,0.0,0.0,0.0,0.0,0.0
291,5,4,0,12,0.0,0.0,0.0,0.0,0.0,0.0
292,6,4,0,13,0.0,0.0,0.0,0.0,0.0,0.0
293,0,4,0,14,0.0,0.0,0.0,0.0,0.0,0.0
294,1,4,0,15,0.0,0.0,0.0,0.0,0.0,0.0
295,2,4,0,16,0.0,0.0,0.0,0.0,0.0,0.0
296,3,4,0,17,0.0,0.0,0.0,0.0,0.0,0.0
297,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
298,5,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0
299,6,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0
300,0,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0
301,1,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0
302,2,4,0,5,0.0,0.0,0.0,0.0,0.0,0.0
303,3,4,0,6,0.0,0.0,0.0,0.0,0.0,0.0
304,4,4,0,7,0.0,0.0,0.0,0.0,0.0,0.0
305,5,4,0,8,0.0,0.0,0.0,0.0,0.0,0.0
306,6,4,0,9,0.0,0.0,0.0,0.0,0.0,0.0
307,0,4,0,10,0.0,0.0,0.0,0.0,0.0,0.0
308,1,4,0,11,0.0,0.0,0.0,0.0,0.0,0.0
309,2,4,0,12,0.0,0.0,0.0,0.0,0.0,0.0
310,3,4,0,13,0.0,0.0,0.0,0.0,0.0,0.0
311,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
312,5,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0
313,6,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0
314,0,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0
315,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
316,2,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0
317,3,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0
318,4,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0
319,5,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0
320,6,5,1,5,0.0,0.0,0.0,0.0,0.0,0.0
321,0,5,0,6,0.0,0.0,0.0,0.0,0.0,0.0
322,1,5,0,7,0.0,0.0,0.0,0.0,0.0,0.0
323,2,5,0,8,0.0,0.0,0.0,0.0,0.0,0.0
324,3,5,1,9,0.0,0.0,0.0,0.0,0.0,0.0
325,4,5,0,10,0.0,0.0,0.0,0.0,0.0,0.0
326,5,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
327,6,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0
328,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
329,1,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0
330,2,5,0,2,0.0,0.0,0.0,0.0,0.0,0.0
331,3,5,0,3,0.0,0.0,0.0,0.0,0.0,0.0
332,4,5,0,4,0.0,0.0,0.0,0.0,0.0,0.0
333,5,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0
334,6,5,1,6,0.0,0.0,0.0,0.0,0.0,0.0
335,0,5,1,7,0.0,0.0,0.0,0.0,0.0,0.0
336,1,5,1,8,0.0,0.0,0.0,0.0,0.0,0.0
337,2,5,0,9,0.0,0.0,0.0,0.0,0.0,0.0
338,3,5,0,10,0.0,0.0,0.0,0.0,0.0,0.0
339,4,5,0,11,0.0,0.0,0.0,0.0,0.0,0.0
340,5,5,0,12,0.0,0.0,0.0,0.0,0.0,0.0
341,6,5,0,13,0.0,0.0,0.0,0.0,0.0,0.0
342,0,5,0,14,0.0,0.0,0.0,0.0,0.0,0.0
343,1,5,0,15,0.0,0.0,0.0,0.0,0.0,0.0
344,2,5,0,16,0.0,0.0,0.0,0.0,0.0,0.0
345,3,5,0,17,0.0,0.0,0.0,0.0,0.0,0.0
346,4,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
347,5,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
348,6,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
349,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
350,1,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0
351,2,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0
352,3,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0
353,4,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0
354,5,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
355,6,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0
356,0,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0
357,1,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0
358,2,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0
359,3,6,0,5,0.0,0.0,0.0,0.0,0.0,0.0
360,4,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
361,5,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0
362,6,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0
363,0,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0
364,1,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
365,2,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0
366,3,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0
367,4,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0
368,5,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0
369,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
370,0,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0
371,1,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0
372,2,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0
373,3,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0
374,4,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
375,5,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0
376,6,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0
377,0,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0
378,1,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0
379,2,6,0,5,0.0,0.0,0.0,0.0,0.0,0.0
380,3,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0
381,4,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0
382,5,7,0,8,0.0,0.0,0.0,0.0,0.0,0.0
383,6,7,0,9,0.0,0.0,0.0,0.0,0.0,0.0
384,0,7,0,10,0.0,0.0,0.0,0.0,0.0,0.0
385,1,7,0,11,0.0,0.0,0.0,0.0,0.0,0.0
386,2,7,0,12,0.0,0.0,0.0,0.0,0.0,0.0
387,3,7,0,13,0.0,0.0,0.0,0.0,0.0,0.0
388,4,7,0,14,0.0,0.0,0.0,0.0,0.0,0.0
389,5,7,0,15,0.0,0.0,0.0,0.0,0.0,0.0
390,6,7,0,16,0.0,0.0,0.0,0.0,0.0,0.0
391,0,7,0,17,0.0,0.0,0.0,0.0,0.0,0.0
392,1,7,0,18,0.0,0.0,0.0,0.0,0.0,0.0
393,2,7,0,19,0.0,0.0,0.0,0.0,0.0,0.0
394,3,7,0,20,0.0,0.0,0.0,0.0,0.0,0.0
395,4,7,0,21,0.0,0.0,0.0,0.0,0.0,0.0
396,5,7,0,22,0.0,0.0,0.0,0.0,0.0,0.0
397,6,7,0,23,0.0,0.0,0.0,0.0,0.0,0.0
398,0,7,0,24,0.0,0.0,0.0,0.0,0.0,0.0
399,1,7,0,25,0.0,0.0,0.0,0.0,0.0,0.0
400,2,7,0,26,0.0,0.0,0.0,0.0,0.0,0.0
401,3,7,0,27,0.0,0.0,0.0,0.0,0.0,0.0
402,4,7,0,28,0.0,0.0,0.0,0.0,0.0,0.0
403,5,7,0,29,0.0,0.0,0.0,0.0,0.0,0.0
404,6,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
405,0,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0
406,1,7,0,2,0.0,0.0,0.0,0.0,0.0,0.0
407,2,7,0,3,0.0,0.0,0.0,0.0,0.0,0.0
408,3,7,0,4,0.0,0.0,0.0,0.0,0.0,0.0
409,4,7,0,5,0.0,0.0,0.0,0.0,0.0,0.0
410,5,7,0,6,0.0,0.0,0.0,0.0,0.0,0.0
411,6,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0
412,0,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0
413,1,8,0,9,0.0,0.0,0.0,0.0,0.0,0.0
414,2,8,0,10,0.0,0.0,0.0,0.0,0.0,0.0
415,3,8,0,11,0.0,0.0,0.0,0.0,0.0,0.0
416,4,8,0,12,0.0,0.0,0.0,0.0,0.0,0.0
417,5,8,0,13,0.0,0.0,0.0,0.0,0.0,0.0
418,6,8,0,14,0.0,0.0,0.0,0.0,0.0,0.0
419,0,8,0,15,0.0,0.0,0.0,0.0,0.0,0.0
420,1,8,0,16,0.0,0.0,0.0,0.0,0.0,0.0
421,2,8,0,17,0.0,0.0,0.0,0.0,0.0,0.0
422,3,8,0,18,0.0,0.0,0.0,0.0,0.0,0.0
423,4,8,0,19,0.0,0.0,0.0,0.0,0.0,0.0
424,5,8,0,20,0.0,0.0,0.0,0.0,0.0,0.0
425,6,8,0,21,0.0,0.0,0.0,0.0,0.0,0.0
426,0,8,0,22,0.0,0.0,0.0,0.0,0.0,0.0
427,1,8,0,23,0.0,0.0,0.0,0.0,0.0,0.0
428,2,8,0,24,0.0,0.0,0.0,0.0,0.0,0.0
429,3,8,0,25,0.0,0.0,0.0,0.0,0.0,0.0
430,4,8,0,26,0.0,0.0,0.0,0.0,0.0,0.0
431,5,8,0,27,0.0,0.0,0.0,0.0,0.0,0.0
432,6,8,0,28,0.0,0.0,0.0,0.0,0.0,0.0
433,0,8,0,29,0.0,0.0,0.0,0.0,0.0,0.0
